"id","station_id","socket_number","charging_method","connector_type","power"
"18836","7393","SKT/12742","DC","DC_CCS","180"
"18837","7393","SKT/12743","DC","DC_CCS","180"
"18838","7393","SKT/12744","DC","DC_CCS","180"
"18839","7394","SKT/27181","DC","DC_CCS","120"
"18840","7394","SKT/27182","DC","DC_CCS","120"
"18841","7395","SKT/27336","DC","DC_CCS","120"
"18842","7395","SKT/27337","DC","DC_CCS","120"
"18843","7396","SKT/27342","DC","DC_CCS","90"
"18844","7396","SKT/27343","DC","DC_CCS","90"
"18845","7397","SKT/16651","DC","DC_CCS","120"
"18846","7397","SKT/16652","DC","DC_CCS","120"
"18847","7397","SKT/20061","DC","DC_CCS","120"
"18848","7397","SKT/20062","DC","DC_CCS","120"
"18849","7398","SKT/17061","AC","AC_TYPE2","22"
"18850","7398","SKT/17062","AC","AC_TYPE2","22"
"18851","7398","SKT/17063","AC","AC_TYPE2","22"
"18852","7398","SKT/17064","AC","AC_TYPE2","22"
"18853","7398","SKT/17065","AC","AC_TYPE2","22"
"18854","7398","SKT/17066","DC","DC_CCS","180"
"18855","7398","SKT/17067","DC","DC_CCS","180"
"18856","7399","SKT/40717","AC","AC_TYPE2","22"
"18857","7400","SKT/21570","DC","DC_CCS","180"
"18858","7400","SKT/21571","DC","DC_CCS","180"
"18859","7400","SKT/21572","DC","DC_CCS","180"
"18860","7400","SKT/21573","DC","DC_CCS","180"
"18861","7400","SKT/21574","DC","DC_CCS","180"
"18862","7400","SKT/21575","DC","DC_CCS","180"
"18863","7401","SKT/40915","AC","AC_TYPE2","22"
"18864","7401","SKT/40916","DC","DC_CCS","180"
"18865","7401","SKT/40917","DC","DC_CCS","180"
"18866","7402","SKT/5865","AC","AC_TYPE2","22"
"18867","7402","SKT/5869","DC","DC_CCS","120"
"18868","7402","SKT/5870","DC","DC_CCS","120"
"18869","7403","SKT/36315","AC","AC_TYPE2","10"
"18870","7403","SKT/36316","AC","AC_TYPE2","10"
"18871","7404","SKT/26375","DC","DC_CCS","180"
"18872","7404","SKT/26376","DC","DC_CCS","180"
"18873","7405","SKT/41177","DC","DC_CCS","180"
"18874","7405","SKT/41178","DC","DC_CCS","180"
"18875","7405","SKT/41179","DC","DC_CCS","180"
"18876","7405","SKT/41180","DC","DC_CCS","180"
"18877","7405","SKT/41181","DC","DC_CCS","180"
"18878","7405","SKT/41182","DC","DC_CCS","180"
"18879","7406","SKT/38529","DC","DC_CCS","120"
"18880","7406","SKT/38530","DC","DC_CCS","120"
"18881","7407","SKT/41243","DC","DC_CCS","180"
"18882","7407","SKT/41244","DC","DC_CCS","180"
"18883","7408","SKT/3310","AC","AC_TYPE2","22"
"18884","7409","SKT/12398","DC","DC_CCS","120"
"18885","7409","SKT/12399","DC","DC_CCS","120"
"18886","7410","SKT/6215","DC","DC_CCS","120"
"18887","7410","SKT/6216","DC","DC_CCS","120"
"18888","7410","SKT/6217","DC","DC_CCS","120"
"18889","7410","SKT/6218","DC","DC_CCS","120"
"18890","7411","SKT/24219","DC","DC_CCS","180"
"18891","7411","SKT/24220","DC","DC_CCS","180"
"18892","7412","SKT/36061","DC","DC_CCS","60"
"18893","7412","SKT/36062","DC","DC_CCS","60"
"18894","7412","SKT/41714","DC","DC_CCS","60"
"18895","7412","SKT/41715","DC","DC_CCS","60"
"18896","7413","SKT/41896","AC","AC_TYPE2","22"
"18897","7413","SKT/41897","AC","AC_TYPE2","22"
"18898","7414","SKT/41901","AC","AC_TYPE2","22"
"18899","7414","SKT/41902","AC","AC_TYPE2","22"
"18900","7415","SKT/41903","AC","AC_TYPE2","22"
"18901","7415","SKT/41904","AC","AC_TYPE2","22"
"18902","7416","SKT/41906","AC","AC_TYPE2","22"
"18903","7416","SKT/41907","AC","AC_TYPE2","22"
"18904","7417","SKT/37628","AC","AC_TYPE2","5"
"18905","7417","SKT/37629","AC","AC_TYPE2","5"
"18906","7417","SKT/37630","AC","AC_TYPE2","5"
"18907","7417","SKT/37631","AC","AC_TYPE2","5"
"18908","7417","SKT/37632","AC","AC_TYPE2","5"
"18909","7417","SKT/37633","AC","AC_TYPE2","5"
"18910","7417","SKT/37634","AC","AC_TYPE2","5"
"18911","7417","SKT/37635","AC","AC_TYPE2","5"
"18912","7417","SKT/37636","AC","AC_TYPE2","5"
"18913","7417","SKT/37637","AC","AC_TYPE2","5"
"18914","7417","SKT/37638","AC","AC_TYPE2","5"
"18915","7417","SKT/37639","AC","AC_TYPE2","5"
"18916","7417","SKT/37640","AC","AC_TYPE2","5"
"18917","7417","SKT/37641","AC","AC_TYPE2","5"
"18918","7417","SKT/37642","AC","AC_TYPE2","5"
"18919","7417","SKT/37643","AC","AC_TYPE2","5"
"18920","7417","SKT/37644","AC","AC_TYPE2","5"
"18921","7417","SKT/37645","AC","AC_TYPE2","5"
"18922","7417","SKT/37646","AC","AC_TYPE2","5"
"18923","7417","SKT/37647","AC","AC_TYPE2","5"
"18924","7417","SKT/37648","AC","AC_TYPE2","5"
"18925","7417","SKT/37649","AC","AC_TYPE2","5"
"18926","7417","SKT/37650","AC","AC_TYPE2","5"
"18927","7417","SKT/37651","AC","AC_TYPE2","5"
"18928","7417","SKT/37652","AC","AC_TYPE2","5"
"18929","7417","SKT/37653","AC","AC_TYPE2","5"
"18930","7417","SKT/37654","AC","AC_TYPE2","5"
"18931","7417","SKT/37655","AC","AC_TYPE2","5"
"18932","7417","SKT/37656","AC","AC_TYPE2","5"
"18933","7417","SKT/37657","AC","AC_TYPE2","5"
"18934","7417","SKT/37658","AC","AC_TYPE2","5"
"18935","7417","SKT/37659","AC","AC_TYPE2","5"
"18936","7417","SKT/37660","AC","AC_TYPE2","5"
"18937","7417","SKT/37661","AC","AC_TYPE2","5"
"18938","7417","SKT/37662","AC","AC_TYPE2","5"
"18939","7417","SKT/37663","AC","AC_TYPE2","5"
"18940","7417","SKT/37664","AC","AC_TYPE2","5"
"18941","7417","SKT/37665","AC","AC_TYPE2","5"
"18942","7417","SKT/37666","AC","AC_TYPE2","5"
"18943","7417","SKT/37667","AC","AC_TYPE2","5"
"18944","7417","SKT/41923","DC","DC_CCS","50"
"18945","7418","SKT/10662","AC","AC_TYPE2","22"
"18946","7418","SKT/10663","AC","AC_TYPE2","22"
"18947","7419","SKT/10664","AC","AC_TYPE2","22"
"18948","7419","SKT/10665","AC","AC_TYPE2","22"
"18949","7420","SKT/2285","AC","AC_TYPE2","22"
"18950","7420","SKT/2286","AC","AC_TYPE2","22"
"18951","7421","SKT/2293","AC","AC_TYPE2","22"
"18952","7421","SKT/2294","AC","AC_TYPE2","22"
"18953","7422","SKT/13773","AC","AC_TYPE2","22"
"18954","7422","SKT/13774","AC","AC_TYPE2","22"
"18955","7423","SKT/13799","AC","AC_TYPE2","22"
"18956","7423","SKT/13800","AC","AC_TYPE2","22"
"18957","7424","SKT/2217","DC","DC_CCS","180"
"18958","7424","SKT/2220","DC","DC_CCS","180"
"18959","7424","SKT/2221","DC","DC_CCS","180"
"18960","7424","SKT/11397","DC","DC_CCS","180"
"18961","7424","SKT/11398","DC","DC_CCS","180"
"18962","7424","SKT/11399","DC","DC_CCS","180"
"18963","7424","SKT/16066","DC","DC_CCS","180"
"18964","7424","SKT/16067","DC","DC_CCS","180"
"18965","7424","SKT/16068","DC","DC_CCS","180"
"18966","7424","SKT/16069","DC","DC_CCS","180"
