"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"5664","ŞRJ/10052",,,"Genemek","Emek Mahallesi Ordu Caddesi  No:6/1 Sancaktepe / İSTANBUL","0","154","41.0063213","29.1928545"
"5665","ŞRJ/6190",,,"ANEMOON TUZLA KONUTLARI","Yayla Mahallesi . Caddesi Dalgıç Sokağı  No:2 Tuzla / İSTANBUL","0","165","40.8337353","29.3152236"
"5666","ŞRJ/8046",,,"Pendik Ürkmezler Otomotiv","Yeşilbağlar Mah Mahallesi Kaptan Sokak Sokağı  No:16 Pendik / İSTANBUL","0","124","40.8944625","29.2274823"
"5667","ŞRJ/8188",,,"Home City","Sanayi Mahallesi  No:20/265 /Home City AVM Pendik / İSTANBUL","0","154","41.0082376","28.9783589"
"5668","ŞRJ/8189",,,"Ataşehir Ata Blokları 3/5","Atatürk Mahallesi Sedef Caddesi  No:21 /3/5 Blok -2.Kat Otopark Ataşehir / İSTANBUL","0","154","40.9869642","29.1319157"
"5669","ŞRJ/8190",,,"Ataşehir Ata Blokları 3/2","Atatürk Mahallesi Sedef Caddesi  No:15 /3/2 Blok -2.Kat Otopark Ataşehir / İSTANBUL","0","154","40.9869642","29.1319157"
"5670","ŞRJ/8195",,,"Shell Kavacık İstanbul","Rüzgarlıbahçe Mahallesi Mahallesi Cumhuriyet Caddesi Caddesi  No:No:4 Beykoz / İSTANBUL","0","140","41.0947566","29.0975545"
"5671","ŞRJ/8197",,,"Shell Ataşehir Gümrük","Küçükbakkalköy Mahallesi Mahallesi Dudullu Caddesi Caddesi  No:No:17 Ataşehir / İSTANBUL","0","140","40.9823755","29.1345442"
"5672","ŞRJ/5382",,,"Ells Çengelköy","Bahçelievler Mahallesi Ay Sokağı Üsküdar / İSTANBUL","0","26","41.054248","29.0781154"
"5673","ŞRJ/8212",,,"ÖLÇER PLAZA FOTEC ELEKTRİKLİ ARAÇ ŞARJ İSTASYONU 1","İçerenköy Mahallesi Şehit İsmail Öz Sokağı  No:37/A Ataşehir / İSTANBUL","0","65","41.0082376","28.9783589"
"5674","ŞRJ/8213",,,"ÖLÇER PLAZA FOTEC ELEKTRİKLİ ARAÇ ŞARJ İSTASYONU 2","İçerenköy Mahallesi Şehit İsmail Öz Sokağı  No:37/B Ataşehir / İSTANBUL","0","65","41.0082376","28.9783589"
"5675","ŞRJ/8238",,,"Shell Gülsuyu","Cevizli Mahallesi Orhangazi Caddesi  No:58 Maltepe / İSTANBUL","0","140","40.9298846","29.1579624"
"5676","ŞRJ/8242",,,"Shell Altayçeşme","Girne Mahallesi Demet Sokağı  No:5 Maltepe / İSTANBUL","0","140","40.9363489","29.1303412"
"5677","ŞRJ/8243",,,"Shell Kartal Cevizli","Cevizli Mahallesi Denizer Caddesi  No:27 Kartal / İSTANBUL","0","140","40.9142326","29.1768582"
"5678","ŞRJ/8264",,,"Fortis Sinanlı","Fikirtepe Mahallesi Yıldırım Sokağı  No:2 Kadıköy / İSTANBUL","0","171","40.993139","29.0481603"
"5679","ŞRJ/8267",,,"Shell Küçüksu Caddesi","Saray Mahallesi Küçüksu Caddesi  No:60/3 Ümraniye / İSTANBUL","0","140","41.033079","29.110774"
"5680","ŞRJ/8291",,,"Hanzade Konutları Otoparkı","Çamlık Mahallesi Bakla Sokağı  No:No:27 Ümraniye / İSTANBUL","0","68","41.0082376","28.9783589"
"5681","ŞRJ/8318",,,"Türkiye Vakıflar Bankası Genel Müdürlüğü","Finanskent Mahallesi Finans Sokağı  No:40 Ümraniye / İSTANBUL","0","171","41.093781","29.0046325"
"5682","ŞRJ/722",,,"Acıbadem Altunizade Hastanesi Kapalı Otoparkı","Altunizade Mahallesi Tophanelioğlu Caddesi  No:13 Ümraniye / İSTANBUL","0","171","41.0191913","29.0456936"
"5683","ŞRJ/723",,,"Akkom Ofis Park","Saray Mahallesi Dr.adnan Büyükdeniz Caddesi  No:2 Ümraniye / İSTANBUL","0","171","41.0309219","29.1118278"
"5684","ŞRJ/724",,,"Allianz Tower","Küçük Bakkal Köy Mahallesi Kayış Dağı Caddesi  No:1 Ataşehir / İSTANBUL","0","171","40.9813995","29.1006832"
"5685","ŞRJ/727",,,"Angel Mercan Restaurant Tuzla","Postane Mahallesi Caferbey Sokağı  No:18 Tuzla / İSTANBUL","0","171","40.819996","29.274612"
"5686","ŞRJ/728",,,"Asmed Hair Transplant Clinic","Atatürk Mahallesi Sedef Caddesi  No:1 /1 Ataşehir / İSTANBUL","0","171","40.9919146","29.1160765"
"5687","ŞRJ/730",,,"Birsay Bosch Araç Servisi Bostancı","İçeren Köy Mahallesi Değirmenyolu Caddesi  No:27 /A Ataşehir / İSTANBUL","0","171","40.9583172","29.0968982"
"5688","ŞRJ/731",,,"Birsay Bosch Araç Servisi","Tatlısu Mahallesi Ertuna Sokağı Ümraniye / İSTANBUL","0","171","41.0082376","28.9783589"
"5689","ŞRJ/732",,,"Bridge Restaurant","Kuzguncuk Mahallesi  No:56  Nakkaş Tepe Yolu Üsküdar / İSTANBUL","0","171","41.0328429","29.035526"
"5690","ŞRJ/733",,,"Casa Lavanda Hotel Şile","Ulupelit Köyü Mahallesi Seçkin Sokağı  No:2 Şile / İSTANBUL","0","171","41.174903","29.609588"
"5691","ŞRJ/734",,,"Çekmeköy Koru Migros","Merkez Mahallesi Çavuşbaşı Caddesi  No:93 Çekmeköy / İSTANBUL","0","171","41.0420439","29.1765945"
"5692","ŞRJ/735",,,"Dedeman Bostancı Hotel İstanbul","İçeren Köy Mahallesi Değirmenyolu Caddesi  No:39 /B Ataşehir / İSTANBUL","0","171","40.962326","29.1110334"
"5693","ŞRJ/736",,,"Esas Aeropark","Yenişehir Mahallesi  No:11 Pendik / İSTANBUL","0","171","40.9280593","29.3084884"
"5694","ŞRJ/737",,,"Hayati Ocakbaşı Kozyatağı","Kozyatağı Mahallesi Değirmen Sokağı  No:16 /A Kadıköy / İSTANBUL","0","171","40.9734073","29.0984399"
"5695","ŞRJ/739",,,"Ibis Tuzla","Aydıntepe Mahallesi Selin Sokağı  No:7 Tuzla / İSTANBUL","0","171","40.8493322","29.2965087"
"5696","ŞRJ/742",,,"Kadıköy Sarı Lacivert Derneği","Zühtüpaşa Mahallesi Reşitpaşa Sokağı  No:32 Kadıköy / İSTANBUL","0","171","40.9859433","29.0353255"
